seg_id,pci,pci_desc
SS-000743-PV1,95,Good
SS-000744-PV1,31.84,Very Poor
SS-000745-PV1,40.82,Poor
SS-000746-PV1,94.84,Good
SS-000747-PV1,95,Good
SS-000748-PV1,95,Good
SS-000749-PV1,92.97,Good
SS-000750-PV1,95,Good
SS-000751-PV1,90.16,Good
SS-000753-PV1,90,Good
SS-000755-PV1,94.91,Good
SS-000756-PV1,97.01,Good
SS-000757-PV1,97.35,Good
SS-000758-PV1,100,Good
SS-000761-PV1,63.14,Fair
SS-000762-PV1,75.97,Satisfactory
SS-000763-PV1,18.76,Serious
SS-000765-PV1,68.63,Fair
SS-000766-PV1,96.31,Good
SS-000767-PV1,89.19,Good
SS-000768-PV1,,
SS-000769-PV1,99.5,Good
SS-000771-PV1,,
SS-000773-PV1,26.42,Very Poor
SS-000774-PV1,79.6,Satisfactory
SS-000775-PV1,78.14,Satisfactory
SS-000776-PV1,48.99,Poor
SS-000777-PV1,45.69,Poor
SS-000778-PV1,25.02,Very Poor
SS-000779-PV1,50.8,Poor
SS-000780-PV1,69.38,Fair
SS-000781-PV1,21.75,Serious
SS-000782-PV1,95.84,Good
SS-000783-PV1,93.26,Good
SS-000784-PV1,63,Fair
SS-000785-PV1,68.52,Fair
SS-000786-PV1,20.15,Serious
SS-000787-PV1,96,Good
SS-000788-PV1,96.55,Good
SS-000789-PV1,92.98,Good
SS-000790-PV1,95.33,Good
SS-000791-PV1,17.53,Serious
SS-000792-PV1,44.3,Poor
SS-000793-PV1,98.89,Good
SS-000794-PV1,39.24,Very Poor
SS-000795-PV1,63.85,Fair
SS-000796-PV1,100,Good
SS-000797-PV1,25.14,Very Poor
SS-000798-PV1,59.26,Fair
SS-000799-PV1,65.34,Fair
SS-000800-PV1,37.11,Very Poor
SS-000801-PV1,66,Fair
SS-000802-PV1,97,Good
SS-000803-PV1,97,Good
SS-000804-PV1,93.89,Good
SS-000805-PV1,92.88,Good
SS-000806-PV1,66,Fair
SS-000807-PV1,66,Fair
SS-000809-PV1,94.16,Good
SS-000810-PV1,28.45,Very Poor
SS-000811-PV1,24.03,Serious
SS-000812-PV1,12.42,Serious
SS-000813-PV1,11.92,Serious
SS-000814-PV1,8.07,Failed
SS-000815-PV1,98,Good
SS-000816-PV1,98,Good
SS-000817-PV1,63.44,Fair
SS-000818-PV1,73.7,Satisfactory
SS-000820-PV1,98,Good
SS-000821-PV1,98,Good
SS-000822-PV1,74.16,Satisfactory
SS-000823-PV1,33.44,Very Poor
SS-000824-PV1,29.61,Very Poor
SS-000826-PV1,62.21,Fair
SS-000827-PV1,54.52,Poor
SS-000828-PV1,43.91,Poor
SS-000829-PV1,98,Good
SS-000830-PV1,98,Good
SS-000831-PV1,87.72,Good
SS-000832-PV1,75.55,Satisfactory
SS-000833-PV1,98,Good
SS-000834-PV1,98,Good
SS-000835-PV1,52.84,Poor
SS-000836-PV1,46.24,Poor
SS-000837-PV1,57.68,Fair
SS-000838-PV1,60.79,Fair
SS-000839-PV1,27,Very Poor
SS-000840-PV1,59.66,Fair
SS-000841-PV1,100,Good
SS-000842-PV1,96.67,Good
SS-000848-PV1,33.43,Very Poor
SS-000850-PV1,18.04,Serious
SS-000851-PV1,76,Satisfactory
SS-000852-PV1,30.56,Very Poor
SS-000853-PV1,42.48,Poor
SS-000854-PV1,15.23,Serious
SS-000855-PV1,62.52,Fair
SS-000856-PV1,46.1,Poor
SS-000858-PV1,42.12,Poor
SS-000859-PV1,55.47,Fair
SS-000861-PV1,29.46,Very Poor
SS-000862-PV1,23.6,Serious
SS-000863-PV1,59,Fair
SS-000864-PV1,84.6,Satisfactory
SS-000865-PV1,60.06,Fair
SS-000866-PV1,64.69,Fair
SS-000867-PV1,53.47,Poor
SS-000868-PV1,94.47,Good
SS-000869-PV1,89.61,Good
